Loan_ID,Channel,Seller,Interest_Rate,UPB,Loan_Term,Origination_Date,First_Payment_Date,LTV,CLTV,Num_Borrowers,DTI,Borrower_FICO,First_Time_Buyer,Loan_Purpose,Dwelling_Type,Unit_Count,Occupancy,State,Zip,Insurance%,Product,Mortgage_Insurance_Type,Relocation_Indicator,Period,Current_IR,Current_UPB,Age,Mod_Ind,Zero_Bal_Cd,FICO_bins,Term_bins,Current_Status,Origin_Month,Origin_Year
945993423310,C,"BANK OF AMERICA, N.A.",5.875,125000,360,10/2003,12/2003,30,30.0,1.0,33.0,769.0,N,C,CP,1,P,NY,101,0.0,FRM,0.0,N,201401,5.875,49441.8,122,N,Prepaid,740-780,<= 30 Years,Prepaid,12,2003
390542519455,B,"CITIMORTGAGE, INC.",6.0,264000,360,08/2003,10/2003,75,75.0,2.0,25.0,598.0,N,C,CP,1,P,NY,104,0.0,FRM,0.0,N,201101,6.0,223038.36,88,N,Prepaid,0-620,<= 30 Years,Prepaid,10,2003
246275536075,R,OTHER,4.875,50000,360,09/2003,11/2003,90,90.0,1.0,42.0,593.0,Y,P,CP,1,P,NY,104,17.0,FRM,1.0,N,201906,4.875,32151.69,188,N,Current,0-620,<= 30 Years,Current,11,2003
529032598385,B,"CITIMORTGAGE, INC.",4.5,107000,180,09/2003,11/2003,37,37.0,2.0,17.0,747.0,N,R,CP,1,P,NY,113,0.0,FRM,0.0,N,201301,4.5,37184.22,111,N,Prepaid,740-780,<=15 Years,Prepaid,11,2003
582145930791,R,OTHER,5.31,264000,180,06/2003,08/2003,80,80.0,1.0,51.0,558.0,N,P,CP,1,I,NY,100,0.0,FRM,0.0,N,200503,5.31,228306.73,20,N,Prepaid,0-620,<=15 Years,Prepaid,08,2003
412247470933,R,OTHER,5.5,178000,360,09/2003,11/2003,90,90.0,1.0,30.0,718.0,N,R,CP,1,P,CT,69,17.0,FRM,1.0,N,200608,5.5,171267.83,34,N,Prepaid,700-740,<= 30 Years,Prepaid,11,2003
177385150623,B,"CITIMORTGAGE, INC.",4.75,165000,180,08/2003,11/2003,67,67.0,2.0,23.0,781.0,N,C,CP,1,P,NY,100,0.0,FRM,0.0,N,200508,4.75,151226.51,22,N,Prepaid,780+,<=15 Years,Prepaid,11,2003
420297570545,R,"CITIMORTGAGE, INC.",6.25,67000,360,10/2003,12/2003,95,95.0,2.0,36.0,657.0,N,P,CP,1,P,NY,112,30.0,FRM,1.0,N,200510,6.25,63657.45,23,N,Prepaid,620-660,<= 30 Years,Prepaid,12,2003
998227468258,R,"CITIMORTGAGE, INC.",5.25,20000,360,08/2003,10/2003,30,90.0,1.0,47.0,698.0,N,R,CP,1,P,IL,606,0.0,FRM,0.0,N,200605,5.25,19118.62,32,N,Prepaid,660-700,<= 30 Years,Prepaid,10,2003
609221661741,B,"CITIMORTGAGE, INC.",5.375,143000,360,11/2003,12/2003,77,77.0,1.0,34.0,739.0,Y,P,CP,1,P,NY,113,0.0,FRM,0.0,N,201108,5.375,119728.41,93,N,Prepaid,700-740,<= 30 Years,Prepaid,12,2003
837076043892,R,"CITIMORTGAGE, INC.",6.125,112000,360,09/2003,11/2003,78,87.0,1.0,28.0,695.0,Y,P,CP,1,P,NY,113,0.0,FRM,0.0,N,200512,6.125,109494.95,26,N,Prepaid,660-700,<= 30 Years,Prepaid,11,2003
151411184207,R,"CITIMORTGAGE, INC.",5.0,51000,180,06/2003,08/2003,54,54.0,1.0,45.0,744.0,N,C,CP,1,P,NY,106,0.0,FRM,0.0,N,201712,5.0,785.79,173,N,Prepaid,740-780,<=15 Years,Prepaid,08,2003
495428467898,R,OTHER,5.875,60000,360,06/2003,08/2003,67,67.0,1.0,29.0,771.0,N,P,CP,1,P,MD,212,0.0,FRM,0.0,N,201304,5.875,46313.05,117,N,Prepaid,740-780,<= 30 Years,Prepaid,08,2003
455293878842,R,"CITIMORTGAGE, INC.",4.375,39000,180,09/2003,11/2003,80,80.0,1.0,34.0,777.0,N,P,CP,1,S,NY,113,0.0,FRM,0.0,N,201808,4.375,777.09,178,N,Prepaid,740-780,<=15 Years,Prepaid,11,2003
839388408232,R,"CITIMORTGAGE, INC.",5.75,260000,360,10/2003,12/2003,69,80.0,2.0,23.0,787.0,N,R,CP,1,P,NY,100,0.0,FRM,0.0,N,201906,5.75,177081.0,187,N,Current,780+,<= 30 Years,Current,12,2003
748679704043,C,"BANK OF AMERICA, N.A.",5.75,130000,240,10/2003,12/2003,73,73.0,2.0,43.0,761.0,N,P,MH,1,P,OR,970,0.0,FRM,0.0,N,201406,5.75,38270.94,127,N,Prepaid,740-780,<= 30 Years,Prepaid,12,2003
587701704485,C,"BANK OF AMERICA, N.A.",6.375,111000,360,10/2003,12/2003,57,57.0,1.0,29.0,781.0,N,R,MH,1,P,CO,806,0.0,FRM,0.0,N,201105,6.375,99175.19,90,N,Prepaid,780+,<= 30 Years,Prepaid,12,2003
230291024302,R,OTHER,5.0,100000,180,05/2003,07/2003,74,74.0,2.0,26.0,753.0,N,R,MH,1,P,AZ,859,0.0,FRM,0.0,N,201509,5.0,24895.6,147,N,Prepaid,740-780,<=15 Years,Prepaid,07,2003
434092387389,C,"BANK OF AMERICA, N.A.",5.5,96000,360,10/2003,12/2003,72,72.0,2.0,14.0,744.0,N,P,MH,1,P,ID,832,0.0,FRM,0.0,N,201904,5.5,65560.47,185,N,Prepaid,740-780,<= 30 Years,Prepaid,12,2003
954936229023,R,SUNTRUST MORTGAGE INC.,7.125,55000,180,10/2003,12/2003,65,65.0,1.0,31.0,562.0,N,C,MH,1,P,VA,241,0.0,FRM,0.0,N,200902,7.125,40765.41,63,N,Prepaid,0-620,<=15 Years,Prepaid,12,2003
919100278906,R,OTHER,5.0,92000,180,05/2003,07/2003,83,83.0,2.0,41.0,660.0,Y,P,MH,1,P,AZ,853,12.0,FRM,1.0,N,200504,5.0,84326.78,22,N,Prepaid,620-660,<=15 Years,Prepaid,07,2003
877071118881,R,OTHER,6.0,119000,360,10/2003,12/2003,73,73.0,2.0,37.0,664.0,N,R,MH,1,P,WI,548,0.0,FRM,0.0,N,200706,6.0,114885.47,43,N,Prepaid,660-700,<= 30 Years,Prepaid,12,2003
897035212800,C,"JPMORGAN CHASE BANK, NA",5.875,84000,360,04/2003,06/2003,74,74.0,1.0,33.0,531.0,N,P,MH,1,P,FL,320,0.0,FRM,0.0,N,201906,5.875,52458.07,193,N,Current,0-620,<= 30 Years,Current,06,2003
884550816686,C,"BANK OF AMERICA, N.A.",5.75,75000,360,09/2003,11/2003,58,58.0,2.0,28.0,806.0,N,R,MH,1,P,CA,932,0.0,FRM,0.0,N,200502,5.75,73342.55,16,N,Prepaid,780+,<= 30 Years,Prepaid,11,2003
304916745494,C,"BANK OF AMERICA, N.A.",5.875,85000,360,10/2003,12/2003,63,63.0,2.0,46.0,765.0,N,P,MH,1,P,OR,974,0.0,FRM,0.0,N,200807,5.875,77890.78,56,N,Prepaid,740-780,<= 30 Years,Prepaid,12,2003
577985275299,C,"BANK OF AMERICA, N.A.",6.0,74000,360,09/2003,11/2003,62,62.0,1.0,24.0,609.0,N,R,MH,1,P,MI,488,0.0,FRM,0.0,N,201001,6.0,2051.88,75,N,Prepaid,0-620,<= 30 Years,Prepaid,11,2003
211504192709,C,"BANK OF AMERICA, N.A.",4.75,76000,180,08/2003,11/2003,55,55.0,1.0,20.0,778.0,N,C,MH,1,P,MI,499,0.0,FRM,0.0,N,201807,4.75,680.9,177,N,Prepaid,740-780,<=15 Years,Prepaid,11,2003
732785679729,C,"IRWIN MORTGAGE, CORPORATION",5.375,87000,180,09/2003,11/2003,90,90.0,1.0,47.0,625.0,N,R,MH,1,P,KY,404,25.0,FRM,1.0,N,200603,5.375,77612.79,29,N,Prepaid,620-660,<=15 Years,Prepaid,11,2003
403076503055,R,OTHER,5.0,77000,235,05/2003,07/2003,55,55.0,1.0,26.0,780.0,N,R,MH,1,P,CA,925,0.0,FRM,0.0,N,201906,5.0,9488.95,192,N,Current,740-780,<= 30 Years,Current,07,2003
291206850718,C,"BANK OF AMERICA, N.A.",5.375,97000,180,10/2003,12/2003,65,65.0,2.0,19.0,792.0,N,C,MH,1,P,ME,400,0.0,FRM,0.0,N,200907,5.375,69483.5,68,N,Prepaid,780+,<=15 Years,Prepaid,12,2003
541532834066,C,"BANK OF AMERICA, N.A.",5.875,77000,360,10/2003,12/2003,64,64.0,2.0,17.0,713.0,N,R,MH,1,P,ID,832,0.0,FRM,0.0,N,201107,5.875,67941.42,92,N,Prepaid,700-740,<= 30 Years,Prepaid,12,2003
134136265206,R,"IRWIN MORTGAGE, CORPORATION",6.375,82000,360,02/2003,04/2003,87,87.0,1.0,42.0,583.0,N,R,MH,1,P,SC,290,30.0,FRM,1.0,N,201202,6.375,72869.43,107,N,REO,0-620,<= 30 Years,Underperforming,04,2003
761906668557,C,"BANK OF AMERICA, N.A.",4.75,146000,180,07/2003,09/2003,57,57.0,1.0,45.0,755.0,N,R,MH,1,P,VA,229,0.0,FRM,0.0,N,201110,4.75,70666.74,98,N,Prepaid,740-780,<=15 Years,Prepaid,09,2003
448493304271,B,"JPMORGAN CHASE BANK, NA",5.5,54000,360,04/2003,06/2003,72,72.0,2.0,7.0,780.0,N,R,MH,1,P,LA,706,0.0,FRM,0.0,N,201104,5.5,36565.1,95,N,Prepaid,740-780,<= 30 Years,Prepaid,06,2003
824841673196,C,"CITIMORTGAGE, INC.",5.375,238000,360,04/2003,06/2003,80,80.0,1.0,61.0,719.0,N,P,PU,1,P,CA,923,0.0,FRM,0.0,N,200909,5.375,214165.63,76,N,Prepaid,700-740,<= 30 Years,Prepaid,06,2003
121778093549,R,OTHER,6.0,54000,360,04/2003,06/2003,39,39.0,2.0,31.0,791.0,N,R,PU,1,P,SC,295,0.0,FRM,0.0,N,201004,6.0,48567.2,83,N,Prepaid,780+,<= 30 Years,Prepaid,06,2003
584746094904,R,OTHER,6.375,120000,360,11/2002,01/2003,33,33.0,2.0,38.0,720.0,N,R,PU,1,P,AZ,856,0.0,FRM,0.0,N,200411,6.375,120000.0,23,N,Prepaid,700-740,<= 30 Years,Prepaid,01,2003
365294823320,R,OTHER,5.25,248000,180,06/2003,08/2003,59,59.0,2.0,26.0,650.0,N,C,PU,1,P,VA,201,0.0,FRM,0.0,N,200909,5.25,169103.47,74,N,Prepaid,620-660,<=15 Years,Prepaid,08,2003
470464374843,R,OTHER,4.625,180000,180,03/2003,05/2003,38,59.0,2.0,39.0,777.0,N,C,PU,1,P,CA,928,0.0,FRM,0.0,N,201011,4.625,105426.17,91,N,Prepaid,740-780,<=15 Years,Prepaid,05,2003
648572447188,R,SUNTRUST MORTGAGE INC.,5.875,91000,360,08/2003,11/2003,64,64.0,1.0,29.0,680.0,N,C,PU,1,P,FL,334,0.0,FRM,0.0,N,200506,5.875,89157.33,20,N,Prepaid,660-700,<= 30 Years,Prepaid,11,2003
764483304832,R,OTHER,5.125,140000,180,10/2003,12/2003,34,34.0,2.0,29.0,732.0,N,C,PU,1,P,VA,201,0.0,FRM,0.0,N,201809,5.125,2440.71,178,N,Prepaid,700-740,<=15 Years,Prepaid,12,2003
527815945980,R,OTHER,6.0,247000,360,11/2002,01/2003,54,54.0,2.0,43.0,773.0,N,C,PU,1,P,CO,801,0.0,FRM,0.0,N,200905,6.0,212556.57,77,N,Prepaid,740-780,<= 30 Years,Prepaid,01,2003
961602689623,R,OTHER,6.25,194000,360,12/2003,12/2003,90,90.0,2.0,32.0,762.0,N,C,PU,1,P,CO,802,25.0,FRM,1.0,N,200704,6.25,185358.55,41,N,Prepaid,740-780,<= 30 Years,Prepaid,12,2003
399810365297,R,SUNTRUST MORTGAGE INC.,5.875,35000,360,05/2003,07/2003,17,17.0,2.0,39.0,776.0,N,C,PU,1,P,SC,299,0.0,FRM,0.0,N,200502,5.875,34291.21,20,N,Prepaid,740-780,<= 30 Years,Prepaid,07,2003
491294148960,R,OTHER,6.125,170000,360,01/2003,03/2003,37,37.0,2.0,14.0,744.0,N,C,PU,1,P,NC,276,0.0,FRM,0.0,N,200907,6.125,154705.78,77,N,Prepaid,740-780,<= 30 Years,Prepaid,03,2003
566650171378,R,OTHER,4.875,115000,180,09/2003,11/2003,38,38.0,1.0,18.0,783.0,N,C,PU,1,P,VA,220,0.0,FRM,0.0,N,201001,4.875,77417.97,75,N,Prepaid,780+,<=15 Years,Prepaid,11,2003
981661017448,R,OTHER,5.375,115000,180,09/2003,11/2003,70,70.0,2.0,27.0,778.0,N,R,PU,1,S,FL,328,0.0,FRM,0.0,N,201512,5.375,1368.37,146,N,Prepaid,740-780,<=15 Years,Prepaid,11,2003
235335856777,R,OTHER,4.875,70000,180,09/2003,11/2003,45,45.0,1.0,19.0,778.0,N,C,PU,1,P,MD,207,0.0,FRM,0.0,N,201604,4.875,6607.21,150,N,Prepaid,740-780,<=15 Years,Prepaid,11,2003
488613592422,R,OTHER,4.875,272000,360,10/2003,11/2003,51,51.0,2.0,39.0,679.0,N,R,PU,1,P,CA,928,0.0,FRM,0.0,N,201906,4.875,177002.42,188,N,Current,660-700,<= 30 Years,Current,11,2003
880272646321,R,OTHER,5.125,147000,180,09/2003,11/2003,56,56.0,1.0,19.0,765.0,N,C,PU,1,P,VA,201,0.0,FRM,0.0,N,201611,5.125,16740.38,157,N,Prepaid,740-780,<=15 Years,Prepaid,11,2003
666563698755,R,SUNTRUST MORTGAGE INC.,6.375,70000,360,09/2003,11/2003,67,67.0,2.0,43.0,686.0,N,P,PU,1,P,FL,347,0.0,FRM,0.0,N,200607,6.375,67745.01,33,N,Prepaid,660-700,<= 30 Years,Prepaid,11,2003
429911656646,R,OTHER,5.625,136000,360,10/2003,12/2003,94,94.0,1.0,30.0,706.0,N,R,PU,1,P,OR,970,25.0,FRM,1.0,N,201407,5.625,110440.12,128,N,Prepaid,700-740,<= 30 Years,Prepaid,12,2003
390529552139,R,SUNTRUST MORTGAGE INC.,5.25,147000,360,08/2003,10/2003,76,89.0,2.0,19.0,629.0,N,R,PU,1,P,FL,327,0.0,FRM,0.0,N,200608,5.25,138183.3,35,N,Prepaid,620-660,<= 30 Years,Prepaid,10,2003
923298009405,R,OTHER,5.125,176000,240,08/2003,09/2003,45,45.0,2.0,27.0,765.0,N,C,SF,1,P,CA,928,0.0,FRM,0.0,N,201002,5.125,137120.02,78,N,Prepaid,740-780,<= 30 Years,Prepaid,09,2003
219314650716,R,OTHER,5.25,67000,144,08/2003,10/2003,70,70.0,1.0,38.0,769.0,N,C,SF,1,I,FL,335,0.0,FRM,0.0,N,201306,5.25,3728.62,117,N,Prepaid,740-780,<=15 Years,Prepaid,10,2003
478779114023,R,OTHER,4.0,114000,120,08/2003,10/2003,58,58.0,2.0,19.0,679.0,N,C,SF,1,P,WA,982,0.0,FRM,0.0,N,201211,4.0,10544.3,110,N,Prepaid,660-700,<=15 Years,Prepaid,10,2003
534823450302,C,"JPMORGAN CHASE BANK, NA",5.75,150000,360,05/2003,07/2003,87,87.0,1.0,34.0,656.0,N,R,SF,1,P,VA,231,25.0,FRM,1.0,N,200903,5.75,139097.25,69,N,Prepaid,620-660,<= 30 Years,Prepaid,07,2003
501272008131,R,OTHER,6.0,146000,360,02/2003,04/2003,75,75.0,1.0,27.0,797.0,N,C,SF,1,P,CA,956,0.0,FRM,0.0,N,201302,6.0,122916.48,119,N,Prepaid,780+,<= 30 Years,Prepaid,04,2003
132130674923,R,OTHER,5.125,172000,240,08/2003,09/2003,80,80.0,2.0,23.0,709.0,N,R,SF,1,P,CA,928,0.0,FRM,0.0,N,200911,5.125,135291.84,75,N,Prepaid,700-740,<= 30 Years,Prepaid,09,2003
214437117675,C,"BANK OF AMERICA, N.A.",6.625,40000,120,10/2003,12/2003,50,50.0,1.0,63.0,687.0,N,C,SF,1,I,KS,660,0.0,FRM,0.0,N,200711,6.625,26974.98,48,N,Prepaid,660-700,<=15 Years,Prepaid,12,2003
953691118334,R,OTHER,5.125,185000,360,06/2003,08/2003,40,40.0,1.0,29.0,704.0,N,P,SF,1,P,WA,981,0.0,FRM,0.0,N,201407,5.125,144722.26,132,N,Prepaid,700-740,<= 30 Years,Prepaid,08,2003
352126537110,R,OTHER,6.25,105000,360,11/2002,01/2003,42,61.0,2.0,35.0,779.0,N,C,SF,1,P,IL,606,0.0,FRM,0.0,N,200901,6.25,87799.66,73,N,Prepaid,740-780,<= 30 Years,Prepaid,01,2003
831689244463,C,"BANK OF AMERICA, N.A.",5.25,231000,360,07/2003,10/2003,58,58.0,2.0,12.0,768.0,N,R,SF,1,P,MI,495,0.0,FRM,0.0,N,200905,5.25,210059.11,68,N,Prepaid,740-780,<= 30 Years,Prepaid,10,2003
128437672961,C,"CITIMORTGAGE, INC.",5.5,215000,360,08/2003,10/2003,76,76.0,2.0,21.0,666.0,N,C,SF,1,P,MD,211,0.0,FRM,0.0,N,200411,5.5,215000.0,14,N,Prepaid,660-700,<= 30 Years,Prepaid,10,2003
205629822136,R,"GMAC MORTGAGE, LLC",6.375,155000,240,10/2003,11/2003,57,57.0,2.0,22.0,797.0,N,C,SF,1,P,NY,115,0.0,FRM,0.0,N,201111,6.375,72828.22,97,N,Prepaid,780+,<= 30 Years,Prepaid,11,2003
521283147347,R,OTHER,6.125,179000,360,08/2003,10/2003,78,78.0,2.0,31.0,621.0,N,P,SF,1,P,CA,936,0.0,FRM,0.0,N,200512,6.125,171404.83,27,N,Prepaid,620-660,<= 30 Years,Prepaid,10,2003
619856163661,R,OTHER,6.0,96000,360,09/2003,11/2003,68,68.0,2.0,52.0,749.0,N,C,SF,1,P,PR,7,0.0,FRM,0.0,N,201110,6.0,86909.99,96,N,Prepaid,740-780,<= 30 Years,Prepaid,11,2003
980197025922,R,"JPMORGAN CHASE BANK, NA",5.25,265000,360,07/2003,09/2003,97,97.0,3.0,37.0,758.0,N,P,SF,1,P,CA,958,30.0,FRM,1.0,N,201304,5.25,219281.09,116,N,Prepaid,740-780,<= 30 Years,Prepaid,09,2003
845394578370,R,OTHER,5.275,51000,159,02/2003,04/2003,38,38.0,2.0,12.0,794.0,N,P,SF,1,P,OH,452,0.0,FRM,0.0,N,200707,5.275,38338.04,52,N,Prepaid,780+,<=15 Years,Prepaid,04,2003
313241251679,R,OTHER,4.75,46000,120,10/2003,12/2003,57,57.0,1.0,24.0,785.0,Y,P,SF,1,P,FL,346,0.0,FRM,0.0,N,200508,4.75,39764.41,21,N,Prepaid,780+,<=15 Years,Prepaid,12,2003
243094086956,R,OTHER,5.125,199000,240,06/2003,08/2003,80,80.0,2.0,39.0,749.0,Y,P,SF,1,P,CA,926,0.0,FRM,0.0,N,201108,5.125,142661.03,97,N,Prepaid,740-780,<= 30 Years,Prepaid,08,2003
870735430249,R,OTHER,4.95,57000,180,08/2003,10/2003,26,26.0,2.0,35.0,751.0,N,C,SF,1,P,OH,440,0.0,FRM,0.0,N,200712,4.95,45372.89,51,N,Prepaid,740-780,<=15 Years,Prepaid,10,2003
234840755135,R,OTHER,5.75,75000,180,08/2008,10/2008,54,54.0,1.0,41.0,661.0,N,C,CO,1,P,PR,9,0.0,FRM,0.0,N,201705,5.75,39716.02,104,N,Prepaid,660-700,<=15 Years,Prepaid,10,2008
185611902897,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,105000,360,08/2008,10/2008,95,95.0,1.0,60.0,762.0,Y,P,CO,1,P,IL,606,30.0,FRM,1.0,N,200911,6.5,103193.03,14,N,Prepaid,740-780,<= 30 Years,Prepaid,10,2008
316025877396,B,FLAGSTAR CAPITAL MARKETS CORPORATION,5.875,417000,360,06/2008,08/2008,65,65.0,2.0,26.0,724.0,Y,P,CO,1,P,CA,900,0.0,FRM,0.0,N,200901,5.875,417000.0,6,N,Prepaid,700-740,<= 30 Years,Prepaid,08,2008
151358038161,C,"WELLS FARGO BANK, N.A.",6.375,40000,360,06/2008,08/2008,97,97.0,1.0,36.0,776.0,N,P,CO,1,P,TX,775,35.0,FRM,1.0,N,201906,6.375,15140.26,131,N,Current,740-780,<= 30 Years,Current,08,2008
165640973452,B,"CITIMORTGAGE, INC.",6.625,120000,360,08/2008,10/2008,71,71.0,1.0,53.0,798.0,N,P,CO,1,S,FL,330,0.0,FRM,0.0,N,201009,6.625,117411.25,24,N,Prepaid,780+,<= 30 Years,Prepaid,10,2008
139659122562,B,"HSBC BANK USA, NATIONAL ASSOCIATION",5.875,417000,360,06/2008,08/2008,48,66.0,3.0,49.0,794.0,N,P,CO,1,P,NY,100,0.0,FRM,0.0,N,201011,5.875,16176.14,28,N,Prepaid,780+,<= 30 Years,Prepaid,08,2008
315124832786,C,FLAGSTAR CAPITAL MARKETS CORPORATION,6.75,212000,360,08/2008,10/2008,79,79.0,1.0,29.0,748.0,N,R,CO,1,P,CA,920,0.0,FRM,0.0,N,201110,6.75,204738.85,37,N,Prepaid,740-780,<= 30 Years,Prepaid,10,2008
356624319315,C,"WELLS FARGO BANK, N.A.",5.875,192000,180,08/2008,10/2008,47,47.0,1.0,33.0,808.0,N,P,CO,1,S,TX,787,0.0,FRM,0.0,N,201111,5.875,2227.47,38,N,Prepaid,780+,<=15 Years,Prepaid,10,2008
193675570415,R,OTHER,5.75,127000,360,06/2008,09/2008,95,95.0,1.0,58.0,767.0,Y,P,CO,1,P,HI,967,25.0,FRM,1.0,N,201404,5.75,115555.73,68,N,Prepaid,740-780,<= 30 Years,Prepaid,09,2008
