,Channel,Seller,Loan_Term,LTV,CLTV,Num_Borrowers,DTI,Borrower_FICO,First_Time_Buyer,Loan_Purpose,Dwelling_Type,Unit_Count,Occupancy,State,Insurance%,Mortgage_Insurance_Type,Relocation_Indicator,Current_IR,Current_UPB,Mod_Ind,Term_bins,Current_Status,Origin_Month,Origin_Year,Months_Between_First_Payment_And_Origin_Date
45,2,31,336,76,76,1,40,753,0,2,4,1,1,15,0,0,0,5.875,19326.46,0,30,1,7,2003,2
46,2,31,360,56,56,2,27,783,0,0,4,1,1,32,0,0,0,6.0,130440.74,0,30,1,5,2003,2
47,2,31,180,70,70,2,41,580,0,0,4,1,1,20,0,0,0,5.25,192474.61,0,15,1,5,2003,2
48,2,31,180,48,48,2,39,784,0,2,4,1,1,36,0,0,0,5.375,24950.4,0,15,1,3,2003,1
49,2,31,180,59,59,2,15,788,0,0,4,1,1,35,0,0,0,5.125,908.03,0,15,1,11,2003,2
50,2,31,360,55,55,1,64,711,0,0,4,1,1,5,0,0,0,6.5,102019.69,0,30,1,11,2003,3
51,2,31,360,45,45,2,19,803,0,1,4,1,1,36,0,0,0,5.5,130731.22,0,30,1,12,2003,2
52,1,3,360,57,57,1,48,653,0,0,0,1,1,47,0,0,0,5.875,161327.53,0,30,1,12,2003,2
53,1,10,360,89,89,2,33,648,0,0,4,1,1,9,25,1,0,5.5,120000.0,0,30,1,8,2003,3
54,2,31,360,95,95,1,26,703,0,1,0,1,1,4,25,1,0,6.0,132562.23,0,30,1,12,2003,2
55,2,31,180,47,47,2,28,788,0,0,4,1,1,49,0,0,0,5.875,80825.78,0,15,1,11,2003,2
56,0,25,360,58,59,1,8,690,0,0,4,1,0,47,0,0,0,6.5,45585.99,0,30,1,9,2003,2
57,2,31,180,51,51,2,40,734,0,0,4,1,1,20,0,0,0,5.25,82048.3,0,15,1,9,2003,2
58,0,25,360,23,39,2,26,716,0,2,4,1,1,4,0,0,0,5.875,294274.81,0,30,1,5,2003,2
59,2,31,180,61,66,1,36,737,0,2,4,1,1,23,0,0,0,5.625,40636.9,0,15,1,3,2003,2
60,2,20,360,78,78,2,63,708,0,1,4,1,1,4,0,0,0,4.5,160394.2,1,30,1,12,2003,2
61,2,4,360,50,50,1,50,662,0,2,4,1,1,15,0,0,0,5.42,136386.53,0,30,1,11,2003,2
62,2,31,360,39,40,1,52,786,0,0,4,1,1,4,0,0,0,5.25,134471.43,0,30,1,10,2003,2
63,2,31,360,65,65,1,37,677,0,0,4,1,1,50,0,0,0,6.375,171637.86,0,30,1,12,2003,2
64,2,31,180,46,46,2,37,776,0,0,4,1,1,9,0,0,0,5.25,76085.33,0,15,1,3,2003,1
65,2,31,360,74,74,2,44,652,0,0,3,1,1,4,0,0,0,5.0,221641.0,0,30,1,11,2003,2
66,1,4,180,80,80,2,23,782,0,0,4,1,1,16,0,0,0,5.875,798.01,0,15,1,11,2003,2
67,2,31,240,24,24,2,41,789,0,0,3,1,1,4,0,0,0,5.0,68471.77,0,30,1,10,2003,2
68,2,31,173,24,24,2,25,767,0,0,3,1,1,28,0,0,0,5.375,16134.82,0,15,1,10,2003,2
69,2,31,120,40,40,2,40,622,0,2,4,1,1,41,0,0,0,5.375,763.15,0,15,1,1,2003,2
70,2,31,360,80,80,2,53,733,0,1,4,1,1,39,0,0,0,5.5,92389.76,0,30,1,9,2003,2
71,2,31,180,55,55,2,45,742,0,2,4,1,1,24,0,0,0,5.375,188917.76,0,15,1,3,2003,1
72,2,31,180,74,74,1,30,755,0,0,4,1,1,5,0,0,0,5.25,140662.5,0,15,1,11,2003,3
73,2,31,360,95,95,2,43,681,0,1,4,1,1,40,35,1,0,5.375,79009.34,1,30,0,10,2003,2
74,2,31,180,53,53,2,52,744,0,0,4,1,1,36,0,0,0,5.375,48454.23,0,15,1,7,2003,2
75,2,31,360,49,49,2,15,786,0,0,4,1,1,4,0,0,0,6.125,77267.39,0,30,1,1,2003,2
76,2,31,360,42,43,2,38,761,0,0,4,1,1,4,0,0,0,6.0,82253.16,0,30,1,2,2003,2
77,2,31,180,76,76,2,24,806,0,0,4,1,1,9,0,0,0,5.0,34208.71,0,15,1,10,2003,2
78,2,31,360,83,83,2,22,756,0,2,3,1,1,28,12,1,0,6.0,137695.15,0,30,1,1,2003,2
79,2,41,360,78,78,2,55,651,0,0,4,1,1,9,0,0,0,6.0,162391.98,0,30,2,12,2003,2
80,1,15,360,80,80,1,44,622,0,0,3,1,1,45,0,0,0,6.375,166417.94,0,30,1,10,2003,2
81,2,31,120,39,39,2,18,811,0,2,4,1,1,39,0,0,0,5.25,1115.06,0,15,1,9,2003,2
82,2,41,360,80,80,1,53,606,0,1,4,1,0,47,0,0,0,5.875,29949.45,0,30,0,12,2003,2
83,2,31,240,70,70,2,47,770,0,0,4,1,1,20,0,0,0,5.625,47799.68,0,30,0,11,2003,2
84,2,25,360,94,94,2,12,772,0,2,4,1,1,3,30,1,0,5.25,134038.7,0,30,1,7,2003,0
85,2,31,360,39,39,2,31,791,0,2,3,1,1,42,0,0,0,6.0,48567.2,0,30,1,6,2003,2
86,2,31,180,54,54,1,39,748,0,0,4,1,1,36,0,0,0,5.375,47598.66,0,15,1,5,2003,2
87,2,31,360,70,70,2,47,766,0,0,3,1,1,28,0,0,0,6.0,233339.04,0,30,1,5,2003,2
88,2,31,360,80,80,2,30,735,0,2,4,1,1,4,0,0,0,5.625,141749.4,0,30,1,5,2003,2
89,2,31,180,54,54,1,54,797,0,0,4,1,1,4,0,0,0,5.25,200330.94,0,15,1,2,2003,2
90,2,31,360,69,69,2,26,722,0,0,4,1,1,20,0,0,0,5.625,241814.41,0,30,1,7,2003,2
91,2,31,240,49,49,2,44,758,0,2,4,1,1,20,0,0,0,5.25,35506.99,0,30,1,9,2003,2
92,2,31,180,22,22,2,44,791,0,2,4,1,1,20,0,0,0,5.5,10229.7,0,15,1,2,2003,3
93,2,31,240,68,68,2,47,761,0,0,0,1,1,4,0,0,0,5.125,200950.45,0,30,1,10,2003,2
94,2,31,240,59,59,2,32,792,0,0,4,1,1,35,0,0,0,5.875,141999.42,0,30,1,5,2003,2
95,2,31,180,35,35,2,17,794,0,0,4,1,1,5,0,0,0,5.375,52634.02,0,15,1,4,2003,1
96,2,31,180,20,20,2,13,744,0,0,4,1,1,5,0,0,0,5.375,838.89,0,15,1,6,2003,2
97,2,31,180,75,75,2,18,797,0,0,4,1,1,39,0,0,0,5.25,52239.45,0,15,1,1,2003,2
98,2,31,180,40,40,2,55,746,0,0,4,1,1,5,0,0,0,5.5,1550.63,0,15,1,5,2003,2
99,2,31,360,90,90,1,19,773,0,1,4,1,1,28,25,1,0,6.0,29821.18,0,30,0,3,2003,1
100,2,31,360,95,95,1,36,669,2,1,4,1,1,14,30,1,0,6.25,105563.34,0,30,1,11,2003,2
101,2,31,360,64,64,1,35,737,0,2,0,1,1,28,0,0,0,6.0,38070.07,0,30,1,2,2003,3
102,2,31,174,31,31,1,41,748,0,0,3,1,1,4,0,0,0,4.75,56086.97,0,15,1,8,2003,2
103,2,31,360,80,80,1,33,751,0,0,4,1,1,5,0,0,0,6.0,152044.33,0,30,1,4,2003,1
104,2,31,360,46,46,2,41,661,0,0,4,1,1,5,0,0,0,6.25,171148.53,0,30,1,1,2003,2
105,2,31,360,48,48,1,41,793,0,1,4,1,1,20,0,0,0,6.5,97483.23,0,30,1,10,2003,2
106,2,31,180,23,72,2,52,629,0,0,4,1,1,20,0,0,0,5.25,853.7,0,15,1,3,2003,1
107,2,31,360,93,93,2,24,753,0,1,3,1,1,28,30,1,0,6.0,81480.7,0,30,1,3,2003,1
108,2,31,180,20,20,2,24,743,0,1,4,1,1,41,0,0,0,5.5,12071.24,0,15,1,8,2003,2
109,1,10,360,76,76,2,21,666,0,0,4,1,1,21,0,0,0,5.5,215000.0,0,30,1,10,2003,2
110,2,31,180,73,73,1,47,737,0,0,4,1,1,50,0,0,0,4.875,72103.85,0,15,1,12,2003,2
111,2,4,360,19,19,1,27,736,0,0,4,1,1,35,0,0,0,6.375,75383.64,0,30,1,12,2003,2
112,2,31,360,78,78,1,55,688,0,0,3,1,1,5,0,0,0,6.0,101293.14,0,30,1,5,2003,2
113,2,31,360,90,90,1,41,657,2,1,4,1,1,40,17,1,0,5.625,101833.93,0,30,0,8,2003,2
114,2,31,240,63,63,2,29,755,0,0,0,1,2,40,0,0,0,5.875,54370.73,0,30,0,10,2003,2
115,2,31,360,75,75,2,53,681,0,0,4,1,1,5,0,0,0,6.125,97815.88,0,30,1,4,2003,1
116,2,31,360,82,82,2,37,686,0,2,4,1,1,28,12,1,0,6.0,167081.01,0,30,1,4,2003,1
117,2,31,180,65,65,2,16,799,0,0,4,1,1,24,0,0,0,5.375,43512.96,0,15,1,6,2003,2
118,2,31,180,43,43,2,35,793,0,0,4,1,1,20,0,0,0,4.875,92149.76,0,15,1,11,2003,2
119,2,31,360,59,60,2,23,749,0,0,4,1,1,4,0,0,0,6.0,86790.78,0,30,0,4,2003,1
120,2,31,354,33,49,2,39,795,0,0,3,1,1,4,0,0,0,5.25,159374.34,0,30,1,7,2003,2
121,2,31,180,58,58,1,20,738,0,0,4,1,1,36,0,0,0,5.375,42161.95,0,15,1,4,2003,1
122,2,31,360,90,90,2,32,723,0,1,4,1,1,28,25,1,0,5.875,131905.48,0,30,1,10,2003,2
123,2,31,334,57,57,2,53,671,0,2,4,1,1,4,0,0,0,5.25,180289.92,0,30,1,7,2003,2
124,2,31,360,62,62,2,18,799,0,2,4,1,1,50,0,0,0,5.5,62091.82,0,30,1,12,2003,2
125,1,25,360,79,79,1,45,732,0,2,4,1,1,9,0,0,0,4.875,71639.6,0,30,0,8,2003,2
126,2,31,240,72,88,2,44,786,0,2,4,1,1,4,0,0,0,5.0,176010.94,0,30,1,10,2003,0
127,2,31,240,80,80,2,23,709,0,2,4,1,1,4,0,0,0,5.125,135291.84,0,30,1,9,2003,1
128,2,31,180,33,33,2,51,757,0,0,4,1,1,20,0,0,0,5.5,47799.63,0,15,1,12,2003,2
129,2,20,360,95,95,1,42,549,0,1,0,1,2,9,30,1,0,6.5,156000.0,0,30,1,12,2003,2
130,2,31,180,65,65,1,27,778,0,0,4,1,1,39,0,0,0,5.0,44192.86,0,15,1,8,2003,2
131,2,31,360,77,77,2,25,756,0,2,4,1,1,35,0,0,0,5.75,55574.92,0,30,1,8,2003,2
132,2,31,120,36,53,2,43,716,0,0,4,1,1,41,0,0,0,5.0,98373.38,0,15,1,3,2003,1
133,2,31,120,47,47,1,27,805,0,2,4,1,1,31,0,0,0,5.75,748.56,0,15,1,3,2003,1
134,2,31,360,64,64,2,40,645,0,0,4,1,1,25,0,0,0,6.75,76520.62,0,30,1,11,2003,2
135,2,24,360,87,87,1,42,583,0,2,2,1,1,42,30,1,0,6.375,72869.43,0,30,2,4,2003,1
136,2,31,360,80,80,1,49,697,2,1,4,1,1,40,0,0,0,6.0,38080.46,0,30,0,8,2003,1
137,2,41,360,55,55,2,54,608,0,0,4,1,1,9,0,0,0,5.875,96739.73,0,30,1,12,2003,0
138,1,25,300,73,73,2,36,728,0,2,4,2,1,35,0,0,0,5.75,293928.4,0,30,1,6,2003,2
139,2,31,360,12,12,2,35,755,0,0,4,1,1,31,0,0,0,6.25,23612.84,0,30,1,11,2003,2
140,2,31,360,56,56,2,32,776,0,0,4,1,1,23,0,0,0,5.625,94675.47,0,30,1,3,2003,1
141,2,31,360,77,77,2,46,709,0,0,3,1,1,4,0,0,0,5.75,180941.35,0,30,1,5,2003,2
142,2,41,180,53,53,1,47,757,0,0,4,1,0,44,0,0,0,5.875,33732.33,0,15,1,12,2003,2
143,2,31,360,80,89,1,32,722,0,2,4,1,1,39,0,0,0,5.5,81215.32,0,30,1,10,2003,2
144,2,31,360,70,70,1,21,806,0,2,4,1,1,38,0,0,0,5.625,124390.61,0,30,1,10,2003,2
145,2,31,180,71,71,2,38,763,0,0,4,1,1,36,0,0,0,4.95,50469.71,0,15,1,11,2003,2
146,2,31,360,80,80,2,29,718,2,1,4,1,1,40,0,0,0,5.75,88385.11,0,30,1,8,2003,2
147,2,31,155,68,68,2,26,727,0,2,4,1,1,36,0,0,0,4.9,43633.5,0,15,1,6,2003,2
148,2,31,360,70,70,2,30,678,0,0,4,1,1,5,0,0,0,6.0,207572.36,0,30,1,11,2003,2
149,2,31,180,56,56,2,37,720,0,0,4,1,1,36,0,0,0,5.375,83650.89,0,15,1,6,2003,2
150,2,31,360,70,71,1,52,702,0,0,4,1,1,4,0,0,0,6.0,175451.39,0,30,1,2,2003,2
151,2,31,360,41,41,2,37,789,0,0,0,1,1,20,0,0,0,5.875,91079.43,0,30,1,6,2003,2
152,2,31,360,65,65,2,26,762,0,0,3,1,1,5,0,0,0,6.0,83051.51,0,30,1,7,2003,2
153,2,31,180,44,44,2,46,689,0,0,4,1,1,36,0,0,0,5.35,962.1,0,15,1,12,2003,2
154,2,31,120,32,32,2,10,729,0,2,4,1,1,31,0,0,0,5.875,2542.46,0,15,1,1,2003,2
155,2,31,360,77,77,2,27,745,0,2,4,1,1,15,0,0,0,5.875,181779.66,0,30,1,6,2003,2
156,2,31,360,85,85,1,28,743,0,2,4,1,1,17,12,1,0,6.25,49047.44,0,30,1,10,2003,2
157,2,31,120,24,24,1,41,757,0,0,4,1,1,35,0,0,0,5.125,55433.76,0,15,1,5,2003,2
158,1,3,360,75,75,1,28,674,0,0,3,1,1,47,0,0,0,6.125,315852.52,0,30,1,10,2003,2
159,2,31,240,80,80,2,45,800,0,0,4,1,1,4,0,0,0,5.125,236386.07,0,30,1,10,2003,2
160,2,31,120,53,53,1,38,650,0,2,4,1,1,51,0,0,0,4.25,35907.53,0,15,1,10,2003,2
161,2,31,360,59,59,1,27,723,0,0,4,1,1,15,0,0,0,5.875,46248.64,0,30,1,7,2003,2
162,2,31,240,80,80,2,31,712,0,0,4,1,1,35,0,0,0,5.5,46334.77,0,30,0,9,2003,1
163,2,31,180,29,29,2,32,787,0,0,4,1,1,20,0,0,0,5.5,36948.29,0,15,1,5,2003,2
164,2,31,178,43,59,2,50,765,0,0,4,1,1,4,0,0,0,4.625,143203.0,0,15,1,8,2003,2
165,2,41,360,50,50,2,23,673,0,2,4,1,1,9,0,0,0,6.125,126128.56,0,30,1,10,2003,0
166,2,31,180,72,72,2,40,683,0,1,4,1,2,10,0,0,0,5.875,401.76,0,15,1,11,2003,2
167,2,31,180,50,50,2,30,801,0,0,4,1,1,31,0,0,0,5.375,1233.41,0,15,1,1,2003,2
168,2,31,120,23,34,2,26,760,0,0,4,1,1,20,0,0,0,4.99,888.71,0,15,1,5,2003,2
169,2,31,180,73,73,2,29,740,0,0,4,1,1,41,0,0,0,5.125,130557.7,0,15,1,2,2003,2
170,2,31,360,90,90,1,38,751,2,1,0,1,1,4,17,1,0,6.125,143444.69,0,30,1,3,2003,1
171,2,31,360,66,67,2,29,781,0,0,4,1,1,4,0,0,0,6.0,124180.59,0,30,1,2,2003,2
172,2,31,180,39,39,2,22,769,0,2,4,1,1,36,0,0,0,5.375,563.59,0,15,1,4,2003,2
173,2,31,240,58,58,2,21,782,0,0,4,1,1,4,0,0,0,4.625,226032.72,0,30,1,11,2003,2
174,2,31,360,60,60,2,23,733,0,1,4,1,1,32,0,0,0,6.0,152030.93,0,30,1,2,2003,2
175,2,31,180,48,48,2,14,698,0,2,4,1,1,39,0,0,0,4.875,30617.82,0,15,1,10,2003,2
176,2,31,360,45,45,1,27,702,0,0,4,1,1,20,0,0,0,5.875,183972.36,0,30,1,5,2003,2
177,1,10,120,37,37,1,17,730,0,0,4,1,1,10,0,0,0,4.875,42272.44,0,15,1,11,2003,2
178,2,31,240,42,42,1,39,630,0,2,4,1,1,4,0,0,0,4.625,76569.44,0,30,1,7,2003,0
179,2,31,240,82,82,2,34,719,0,2,4,1,1,25,6,1,0,7.375,33652.4,0,30,1,3,2003,2
180,2,31,180,42,42,2,26,793,0,2,4,1,1,9,0,0,0,5.25,43221.69,0,15,1,11,2003,2
181,2,31,360,95,95,2,26,759,0,2,4,1,1,38,25,1,0,5.75,119531.96,0,30,1,6,2003,2
182,2,19,360,95,100,1,34,666,2,1,4,1,1,39,0,0,0,6.125,254000.0,0,30,1,12,2003,2
183,2,31,180,80,80,2,36,790,0,1,4,1,1,36,0,0,0,5.5,542.01,0,15,1,6,2003,2
184,2,31,360,45,45,2,12,798,0,2,4,1,1,28,0,0,0,6.0,43376.43,0,30,1,3,2003,1
185,2,41,360,59,59,1,53,793,0,0,4,1,1,9,0,0,0,5.875,65180.74,0,30,0,11,2003,2
186,2,25,180,52,52,1,40,782,0,2,4,1,1,4,0,0,0,4.375,116108.88,0,15,1,7,2003,2
187,2,31,180,65,65,2,24,613,0,0,4,1,1,24,0,0,0,5.375,66752.6,0,15,1,3,2003,1
188,2,31,170,54,54,2,42,787,0,1,4,1,1,36,0,0,0,5.25,86354.21,0,15,1,9,2003,2
189,2,31,360,63,64,2,32,726,0,0,4,1,1,4,0,0,0,6.0,115000.0,0,30,1,2,2003,2
190,2,31,180,88,88,2,33,718,0,2,4,1,1,35,12,1,0,5.25,56839.24,0,15,1,5,2003,2
191,2,31,240,16,22,1,38,735,0,0,4,1,1,4,0,0,0,5.125,12558.25,0,30,0,11,2003,2
192,2,31,180,73,73,1,27,807,2,1,4,1,1,39,0,0,0,5.0,3493.25,0,15,1,8,2003,2
193,2,31,360,61,61,1,33,742,0,0,0,1,1,20,0,0,0,5.875,84966.72,0,30,1,8,2003,2
194,2,31,360,87,87,2,39,736,0,0,4,1,1,23,25,1,0,6.25,69307.87,0,30,2,1,2003,2
195,2,31,180,45,45,2,22,773,0,2,4,1,1,39,0,0,0,4.875,1547.08,0,15,1,10,2003,2
196,2,31,240,53,53,2,39,729,0,0,4,1,1,38,0,0,0,5.875,84417.52,0,30,1,11,2003,2
197,2,31,360,84,84,2,31,693,0,0,4,1,1,4,12,1,0,6.0,215830.25,0,30,1,3,2003,1
198,2,31,180,75,75,2,53,765,0,0,4,1,1,9,0,0,0,5.25,49204.15,0,15,1,3,2003,1
199,1,10,360,70,92,1,29,723,0,2,3,1,1,9,0,0,0,5.875,325590.87,0,30,1,10,2003,2
200,2,10,180,66,66,2,19,738,0,2,4,1,1,39,0,0,0,5.25,90941.15,0,15,1,10,2003,2
201,2,31,360,53,53,2,31,696,0,0,4,1,1,40,0,0,0,5.5,102091.28,0,30,1,8,2003,2
202,2,31,180,53,53,1,34,755,0,2,4,1,1,35,0,0,0,5.0,2990.19,0,15,1,6,2003,2
203,2,31,177,45,45,1,40,695,0,1,4,1,1,36,0,0,0,4.9,55758.31,0,15,1,8,2003,2
204,2,10,180,54,54,1,45,744,0,0,1,1,1,35,0,0,0,5.0,785.79,0,15,1,8,2003,2
205,2,31,360,69,69,2,44,677,0,2,4,1,1,39,0,0,0,6.0,180313.77,0,30,1,3,2003,1
206,2,31,360,66,66,2,28,786,0,0,4,1,1,0,0,0,0,5.0,200078.74,0,30,1,9,2003,2
207,2,31,360,59,75,2,26,668,0,0,4,1,1,31,0,0,0,5.125,153667.35,0,30,1,10,2003,2
208,2,31,120,22,35,2,19,693,0,2,4,1,1,41,0,0,0,5.25,24601.74,0,15,1,4,2003,1
209,2,31,360,48,49,2,28,797,0,0,3,1,1,4,0,0,0,5.25,220133.5,0,30,1,11,2003,2
210,2,31,180,48,48,2,36,691,0,0,4,1,1,36,0,0,0,5.375,56902.32,0,15,1,6,2003,2
211,2,31,180,90,90,2,21,723,0,2,4,1,1,35,25,1,0,5.0,53139.84,0,15,1,10,2003,3
212,2,31,180,47,47,2,43,739,0,2,4,1,1,20,0,0,0,5.25,1902.05,0,15,1,7,2003,2
213,2,41,360,64,64,1,64,593,0,0,4,1,1,9,0,0,0,6.25,193697.14,1,30,2,10,2003,0
214,2,31,360,72,73,2,19,698,0,0,4,1,1,4,0,0,0,5.25,148986.0,0,30,1,10,2003,2
215,2,31,180,49,49,2,25,786,0,2,4,1,1,50,0,0,0,4.375,65896.86,0,15,1,10,2003,2
216,2,31,240,63,63,2,31,779,0,2,4,1,1,41,0,0,0,5.875,129250.56,0,30,1,1,2003,2
217,2,31,360,79,79,1,34,698,0,0,4,1,1,39,0,0,0,6.0,71000.0,0,30,1,4,2003,1
218,2,31,120,40,40,2,8,777,0,2,4,1,1,20,0,0,0,5.125,2224.34,0,15,1,5,2003,2
219,2,31,240,82,82,1,14,640,0,0,4,1,1,39,6,1,0,7.25,8902.18,0,30,0,11,2003,2
220,1,3,360,43,43,1,59,754,0,2,4,1,1,23,0,0,0,5.625,277444.99,0,30,1,9,2003,2
221,2,31,360,72,73,2,37,773,0,2,3,1,1,4,0,0,0,6.0,107256.53,0,30,1,1,2003,2
222,2,31,180,42,42,2,13,705,0,0,4,1,1,36,0,0,0,4.95,176000.0,0,15,1,10,2003,2
223,2,10,180,53,53,2,1,751,0,2,4,1,1,6,0,0,0,5.125,105059.11,0,15,1,12,2003,2
224,2,31,180,70,70,1,37,794,0,2,4,1,1,33,0,0,0,5.375,96402.99,0,15,1,12,2003,2
225,2,31,144,30,30,1,21,791,0,2,4,1,1,39,0,0,0,4.875,17383.49,0,15,1,9,2003,2
226,0,36,180,34,34,2,23,742,0,2,4,1,1,4,0,0,0,5.25,334.49,0,15,1,11,2003,2
227,2,31,360,51,61,2,23,786,0,0,4,1,1,39,0,0,0,4.875,160372.8,0,30,1,9,2003,2
228,2,31,360,34,34,2,36,752,0,2,4,1,1,4,0,0,0,6.125,299462.87,0,30,1,12,2003,2
229,2,31,180,89,89,1,52,755,0,1,4,1,1,1,12,1,0,5.75,27538.03,0,15,1,12,2003,2
230,2,19,180,35,38,2,26,791,0,0,4,1,1,35,0,0,0,5.5,1944.82,0,15,1,12,2003,2
231,2,31,360,16,16,1,52,653,0,0,4,2,1,20,0,0,0,6.0,75965.58,0,30,0,4,2003,1
232,2,31,360,80,80,1,26,786,2,1,4,1,1,31,0,0,0,5.125,34492.53,0,30,1,9,2003,2
233,2,31,180,69,69,2,15,760,0,2,4,1,1,3,0,0,0,4.625,30801.69,0,15,1,9,2003,2
234,2,31,360,67,67,1,31,677,0,0,4,1,1,5,0,0,0,5.875,112538.64,0,30,1,1,2003,2
